Time,Deep,Length,HRT,COD,TN,NH4-N,C/N,c(A),CSC,XLogP3,WI,RA(P),RA(F),RA(B),RA(A),RR(NH4-N)
360,40,26.5,336,1070,30,20.65,1.5,60,110,-1.4,1864,56.363,5.184,9.295,4.084,0.6906
360,60,26.5,336,1070,30,20.65,1.5,60,110,-1.4,1864,56.067,6.099,7.656,2.042,0.6906
150,15,15,86.7,100,73.62,55.97,1.36,199.6,1,0.9,535,32.085,2.047,7.191,2.132,0.6906
150,35,35,86.7,100,73.62,55.97,1.36,199.6,1,0.9,535,28.617,1.336,6.709,2.132,0.6906
150,55,55,86.7,100,73.62,55.97,1.36,199.6,1,0.9,535,36.32,1.535,6.196,2.217,0.6906
150,15,15,86.7,100,73.62,55.97,1.36,199.6,1,0.9,535,36.406,2.956,7.873,1.905,0.6906
150,35,35,86.7,100,73.62,55.97,1.36,199.6,1,0.9,535,32.313,2.245,6.083,3.639,0.6906
150,55,55,86.7,100,73.62,55.97,1.36,199.6,1,0.9,535,30.607,1.791,6.169,3.098,0.6906
150,15,15,86.7,100,73.62,55.97,1.36,199.6,1,0.9,535,30.863,6.026,6.822,2.87,0.6906
150,35,35,86.7,100,73.62,55.97,1.36,199.6,1,0.9,535,37.315,2.104,5.997,2.615,0.6906
150,55,55,86.7,100,73.62,55.97,1.36,199.6,1,0.9,535,32.682,1.478,6.367,2.672,0.6906
150,15,15,86.7,100,73.62,55.97,1.36,199.6,1,0.9,535,36.718,1.165,6.509,1.962,0.6906
150,35,35,86.7,100,73.62,55.97,1.36,199.6,1,0.9,535,35.411,2.871,6.907,2.132,0.6906
150,55,55,86.7,100,73.62,55.97,1.36,199.6,1,0.9,535,32.824,3.979,7.874,3.269,0.6906
60,15,15,72,0,0,0,0,0,11,0,0,89.521,0,0,0,0
60,15,15,72,0,0,0,0,400,11,-0.1,1103,66.065,2.072,8.248,7.996,0
60,15,15,72,0,0,0,0,1000,11,-0.1,1103,60.287,1.423,6.677,6.196,0
60,15,15,72,0,0,0,0,100,11,-0.1,1103,42.075,12.79,9.169,4.668,0
60,15,15,72,0,0,0,0,100,11,-0.1,1103,65.52,14.172,4.982,4.479,0
60,15,15,72,0,0,0,0,100,11,-0.1,1103,70.335,2.554,6.028,6.782,0
60,15,15,72,0,0,0,0,100,11,0.3,722,67.048,2.24,6.071,4.898,0
60,15,15,72,0,0,0,0,100,11,-0.4,1484,55.828,3.663,8.457,7.201,0
175,15,15,218.4,0,0,0,0,300,111,-0.8,1483,67.6325,0,7.7367,0.8955,0
175,15,15,213.6,0,0,0,0,300,111,-0.8,1483,96.1141,0,0,0.5721,0
175,15,15,242.4,0,0,0,0,300,111,-0.8,1483,75.0203,0,0,0,0
175,15,15,252,0,0,0,0,300,111,-0.8,1483,78.5774,0.5224,1.0945,3.8556,0
343,15,15,218.4,400,500,0,0.8,300,111,-0.8,1483,82.3086,1.0447,4.179,0,0.6906
343,15,15,213.6,400,500,0,0.8,300,111,-0.8,1483,76.463,3.8058,3.2835,0,0.6906
343,15,15,242.4,400,500,0,0.8,300,111,-0.8,1483,82.1096,2.8855,0.3234,2.3631,0.6906
343,15,15,252,400,500,0,0.8,300,111,-0.8,1483,72.2095,14.5518,2.9352,0.5224,0.6906
30,25,25,36,120,20,20,6,0,0,0,0,61.3887,8.4134,8.5461,1.3536,0.4503
90,25,25,36,120,20,20,6,0,0,0,0,64.7328,3.4503,12.7926,0.5839,0.4772
84,23,23,72,207.01,42.62,41.27,4.86,0,0,0,0,30.3573,1.137,6.5093,2.4161,0.1491
